,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
24,Denver Broncos,16,390,5725,1063,5.4,18,9,315,333,534,3704,24,9,6.4,182,488,2021,11,4.1,101,99,845,32,33.0,7.8,68.03
25,New York Giants,16,400,6022,1072,5.6,31,11,338,361,589,4082,28,20,6.4,210,435,1940,15,4.5,103,110,933,25,34.7,14.8,57.49
26,St. Louis Rams,16,407,5734,1033,5.6,18,6,313,293,484,3301,21,12,6.3,166,510,2433,17,4.8,122,111,951,25,35.9,8.9,12.31
27,Carolina Panthers,16,429,6042,972,6.2,24,10,329,318,490,3949,28,14,7.6,191,451,2093,18,4.6,110,98,901,28,42.7,12.9,-45.71
28,Indianapolis Colts,16,430,5935,1062,5.6,17,9,343,351,493,3632,25,8,7.0,193,540,2303,19,4.3,136,84,804,14,39.2,9.1,78.11
29,Oakland Raiders,16,433,6201,1070,5.8,26,8,369,324,601,4023,31,18,6.3,206,430,2178,15,5.1,105,120,982,58,35.6,12.8,-50.99
30,Buffalo Bills,16,434,5938,1003,5.9,31,11,340,321,507,3714,30,20,6.9,196,467,2224,19,4.8,120,85,871,24,37.0,15.3,8.91
31,Minnesota Vikings,16,449,5731,1027,5.6,23,15,332,367,538,4019,34,8,6.8,213,439,1712,10,3.9,92,97,834,27,41.1,10.8,34.94
32,Tampa Bay Buccaneers,16,494,6311,1002,6.3,24,10,356,301,481,3814,30,14,7.6,188,498,2497,26,5.0,135,95,786,33,42.9,13.0,-39.05
,Avg Team,,354.9,5549.3,1017.8,5.5,25.3,9.5,311.3,327.0,544.1,3675.0,23.3,15.8,6.3,187.2,436.6,1874.3,12.5,4.3,96.7,102.8,867.3,27.3,32.8,12.8,90.1
,League Total,,11356,177579,32569,5.5,810,304,9960,10464,17410,117601,745,506,6.3,5991,13971,59978,400,4.3,3095,3288,27753,874,32.8,12.8,
,Avg Tm/G,,22.2,346.8,63.6,5.5,1.6,0.6,19.5,20.4,34.0,229.7,1.5,1.0,6.3,11.7,27.3,117.1,0.8,4.3,6.0,6.4,54.2,1.7,32.8,12.8,
